Value,USD (PM)
4225.18,1274.25
4338.85,1274.5
4318.58,1261.8
4376.19,1261.8
4602.28,1261.8
4605.66,1278.75
4782.28,1291.4
4819.49,1289.25
4822.17,1290.25
5563.81,1299.6
5739.44,1299.6
5825.99,1299.6
5711.21,1303.3
5603.71,1284.75
5594.66,1280.2
5727.63,1286.4
5979.46,1281.2
5986.44,1281.2
5983.18,1281.2
5876.08,1274.9
5900.59,1276.45
5669.62,1275.0
5893.14,1273.75
5889.82,1266.45
5776.7,1266.45
6155.43,1266.45
6136.49,1272.0
6388.65,1270.15
6665.31,1277.05
6751.98,1279.2
7197.72,1267.2
7437.54,1267.2
7365.99,1267.2
6989.07,1270.9
7092.13,1275.6
7128.64,1284.0
7158.04,1284.8
6719.4,1284.3
6569.22,1284.3
5716.3,1284.3
6550.23,1277.95
6493.63,1274.6
7301.43,1282.2
7815.03,1280.0
7868.77,1284.35
7817.14,1284.35
8007.65,1284.35
8049.72,1286.2
8059.8,1283.3
8268.03,1286.95
8236.72,1290.35
8250.98,1290.5
8707.41,1290.5
8768.8,1290.5
9718.3,1294.9
9952.51,1291.85
9919.0,1283.85
10147.37,1280.2
10883.91,1275.5
10879.88,1275.5
11332.62,1275.5
11584.83,1273.45
11591.22,1266.3
13540.98,1263.7
16501.97,1255.0
16860.88,1250.65
15142.83,1250.65
14869.81,1250.65
15068.95,1247.15
17276.39,1240.9
16808.37,1242.65
16252.31,1251.0
17771.9,1254.6
19498.68,1254.6
19279.9,1254.6
18961.86,1260.6
17737.11,1260.35
17382.94,1264.55
16047.51,1264.55
15190.94,1264.55
13776.61,1264.55
13949.17,1264.55
14119.03,1264.55
13740.94,1264.55
15589.32,1279.4
14380.58,1291.0
14214.01,1291.0
13215.57,1291.0
14165.58,1291.0
13796.0,1291.0
15005.86,1312.05
15053.26,1314.9
15039.24,1314.5
17174.12,1317.15
17319.2,1317.15
17155.95,1317.15
15265.91,1319.95
14714.25,1311.0
14437.42,1319.75
13296.79,1323.05
13912.88,1326.8
13791.19,1326.8
13852.92,1326.8
14012.2,1339.25
13554.14,1333.85
11116.95,1335.65
11345.42,1332.2
11174.82,1334.95
12950.79,1334.95
11505.23,1334.95
11513.42,1332.6
11223.06,1333.4
11282.26,1353.7
11392.03,1354.95
10969.82,1353.15
11524.78,1353.15
11431.37,1353.15
11212.66,1343.85
10184.06,1344.9
10082.52,1345.05
9083.26,1341.35
8901.9,1331.15
8852.73,1331.15
8400.65,1331.15
6838.82,1333.6
6925.46,1331.4
8099.96,1324.65
8240.54,1315.45
8245.08,1314.1
8319.88,1314.1
8343.45,1314.1
8068.02,1322.3
8597.77,1325.35
9334.63,1336.25
9471.64,1352.45
10127.16,1352.1
10841.99,1352.1
11085.83,1352.1
11110.97,1346.6
11390.39,1339.85
11245.98,1330.5
9931.07,1328.35
10162.12,1327.95
10171.3,1327.95
9696.59,1327.95
10348.6,1333.5
10319.46,1325.75
10370.17,1317.85
11009.38,1307.75
10931.12,1322.3
11326.95,1322.3
11430.18,1322.3
11516.83,1320.4
10763.2,1331.4
10118.06,1329.4
9920.46,1321.0
9089.28,1320.6
8746.0,1320.6
8777.37,1320.6
9182.84,1319.15
9154.7,1322.75
9153.54,1323.55
8358.12,1318.75
8530.4,1310.1
8297.89,1310.1
8171.41,1310.1
8412.03,1312.4
8605.64,1311.0
8947.75,1321.35
8690.41,1329.15
8725.37,1346.6
8662.38,1346.6
8617.3,1346.6
8457.96,1352.4
7876.19,1341.45
7960.38,1332.45
7950.61,1323.85
6882.53,1323.85
6935.48,1323.85
6937.56,1323.85
7035.85,1323.85
7410.44,1333.45
7426.48,1337.3
6826.51,1327.7
6603.88,1331.2
6634.68,1331.2
7017.66,1331.2
6699.27,1331.95
6784.41,1338.95
6926.27,1350.75
7847.85,1341.35
7941.46,1343.7
8036.51,1343.7
8340.75,1343.7
8368.1,1349.35
7895.42,1342.1
8164.94,1351.45
8175.96,1348.6
8852.72,1336.75
8807.2,1336.75
8930.6,1336.75
8933.86,1324.3
9555.54,1328.85
9658.11,1321.65
9258.4,1320.7
9010.32,1321.5
8928.55,1321.5
9334.28,1321.5
9259.57,1313.2
9239.55,1307.1
9221.43,1304.2
9639.27,1315.05
9753.35,1309.4
9803.31,1309.4
9630.14,1309.4
9631.44,1309.4
9228.61,1306.6
9322.04,1313.85
9310.37,1318.8
8468.79,1324.35
8484.35,1324.35
8463.52,1324.35
8652.04,1319.85
8511.46,1295.0
8471.06,1291.25
8106.12,1289.5
8240.06,1288.3
8239.08,1288.3
8507.41,1288.3
8385.56,1288.35
8396.63,1293.05
7555.74,1289.0
7566.19,1304.85
7576.78,1303.5
7342.91,1303.5
7361.83,1303.5
7344.56,1303.5
7459.88,1295.5
7385.4,1300.7
7386.72,1305.35
7535.15,1294.6
7645.15,1294.6
7637.14,1294.6
7500.27,1295.45
7615.72,1292.05
7619.43,1300.1
7676.27,1297.25
7620.15,1298.25
7615.54,1298.25
6776.89,1298.25
6875.68,1299.6
6879.31,1298.65
6315.7,1296.15
6647.01,1302.75
6637.41,1285.25
6509.43,1285.25
6464.41,1285.25
6445.79,1281.55
6737.0,1276.15
6714.72,1274.2
6760.83,1266.15
6332.57,1269.15
6141.61,1269.15
6170.46,1269.15
6211.45,1268.7
6218.6,1260.3
6097.46,1254.6
6107.9,1251.55
5908.7,1250.45
6223.28,1250.45
6374.75,1250.45
6466.07,1247.8
6626.44,1251.75
6593.29,1255.65
6603.38,1255.5
6555.51,1255.35
6594.28,1255.35
6753.56,1255.35
6724.04,1262.05
6510.79,1254.0
6377.36,1251.4
6403.18,1245.9
6244.36,1241.7
6241.0,1241.7
6248.84,1241.7
6514.39,1241.1
6869.91,1232.8
7321.62,1224.5
7396.4,1217.55
7428.05,1228.75
7334.99,1228.75
7451.29,1228.75
7689.88,1224.95
7715.1,1228.35
8251.17,1231.5
8187.32,1228.25
7939.81,1223.95
8182.25,1223.95
8206.34,1223.95
8220.91,1223.8
7916.8,1220.95
7570.87,1219.0
7607.7,1215.45
7394.5,1216.3
7247.77,1216.3
7011.28,1216.3
6988.08,1209.65
6993.51,1212.35
6718.23,1209.55
6396.77,1214.35
6396.49,1214.4
6138.96,1214.4
6311.13,1214.4
6347.07,1200.35
6252.13,1197.0
6362.68,1182.0
6342.63,1180.4
6312.75,1178.4
6436.72,1178.4
6404.06,1178.4
6486.58,1184.35
6401.25,1190.95
6575.23,1196.65
6354.57,1192.35
6543.65,1197.7
6719.43,1197.7
6738.27,1197.7
6719.27,1197.7
7000.04,1212.25
7078.19,1204.2
6932.66,1197.3
6981.95,1202.45
7018.78,1202.45
7247.94,1202.45
7260.95,1200.05
7265.08,1190.85
7113.07,1196.7
6433.27,1205.15
6501.19,1198.9
6366.11,1198.9
6286.43,1198.9
6240.98,1196.6
6296.32,1189.85
6273.14,1195.6
6326.04,1209.8
6499.06,1201.95
6518.65,1201.95
6522.39,1201.95
6400.6,1201.9
6296.63,1200.2
6342.39,1203.3
6418.56,1208.35
6669.99,1198.7
6756.12,1198.7
6710.44,1198.7
6639.3,1202.75
6583.45,1201.9
6468.63,1194.25
6535.48,1185.4
6686.08,1187.25
6550.47,1187.25
6593.14,1187.25
6611.02,1189.35
6562.64,1204.7
6470.4,1201.2
6483.73,1203.45
6568.55,1203.8
6581.49,1203.8
6573.62,1203.8
6618.57,1186.95
6621.71,1185.55
6626.85,1188.6
6248.64,1205.55
6260.53,1219.75
6247.0,1219.75
6299.4,1219.75
6452.57,1229.95
6599.17,1230.7
6596.28,1229.05
6568.04,1223.0
6509.61,1227.85
6488.83,1227.85
6531.6,1227.85
6504.78,1222.3
6481.43,1235.95
6508.31,1230.55
6489.77,1230.8
6473.75,1233.85
6465.92,1233.85
6457.21,1233.85
6382.67,1230.8
6309.45,1225.4
6301.61,1214.95
6342.28,1231.15
6387.67,1232.1
6390.42,1232.1
6391.87,1232.1
6436.97,1232.25
6437.76,1231.6
6538.79,1229.95
6486.25,1224.15
6444.97,1211.4
6399.03,1211.4
6378.27,1211.4
6408.53,1205.55
6372.06,1202.1
6176.15,1203.25
5756.77,1211.85
5596.19,1222.4
5558.24,1222.4
5572.44,1222.4
5303.94,1221.6
4671.97,1223.0
4491.98,1226.1
4548.8,1227.05
4309.34,1223.65
4352.98,1223.65
3823.51,1223.65
3920.54,1223.4
3793.35,1221.2
4103.45,1213.25
4263.78,1226.25
4278.77,1217.55
4116.78,1217.55
4167.55,1217.55
4140.6,1230.3
3961.49,1240.3
3858.35,1235.9
3744.98,1242.55
3405.64,1243.3
3435.34,1243.3
3453.66,1243.3
3523.96,1245.35
3426.19,1245.3
3407.28,1245.75
3406.76,1242.75
3278.37,1235.35
3242.42,1235.35
3271.24,1235.35
3392.41,1241.65
3556.54,1246.3
3808.04,1255.0
3982.85,1259.75
4135.19,1258.15
3910.97,1258.15
4027.48,1258.15
3995.17,1258.15
3813.88,1258.15
3825.38,1258.15
3848.21,1268.0
3743.91,1279.0
3912.29,1279.0
3770.36,1279.0
3791.55,1279.0
3752.27,1279.0
3855.88,1282.9
3865.8,1290.45
3822.63,1279.9
3856.62,1279.9
3920.46,1279.9
4036.09,1292.2
4032.25,1286.45
4034.14,1288.6
3812.59,1291.9
3646.25,1288.95
3646.35,1288.95
3599.84,1288.95
3531.96,1292.75
3656.78,1294.4
3621.27,1292.3
3621.43,1290.7
3632.39,1284.2
3690.52,1284.2
3703.98,1284.2
3548.43,1279.55
3540.02,1282.1
3587.35,1279.8
3566.4,1283.7
3586.25,1293.9
3577.79,1293.9
3576.3,1293.9
3554.5,1302.15
3448.58,1307.55
3421.6,1310.7
3470.0,1323.25
3444.81,1318.7
3475.33,1318.7
3506.22,1318.7
3456.02,1312.15
3452.35,1314.2
3467.34,1312.4
3405.7,1310.0
3394.76,1314.85
3661.08,1314.85
3664.38,1314.85
3686.29,1306.4
3629.47,1310.0
3632.42,1312.8
3614.5,1311.45
3600.31,1316.55
3608.2,1316.55
3619.55,1316.55
3670.74,1325.5
3910.8,1334.15
3926.53,1343.75
3987.18,1331.25
3944.88,1329.05
3983.48,1329.05
4139.6,1329.05
3766.89,1331.05
3848.33,1325.05
3831.45,1322.85
3833.23,1319.15
3850.08,1311.95
3834.62,1311.95
3831.44,1311.95
3814.58,1285.4
3730.98,1283.8
3872.25,1285.85
3876.85,1285.3
3886.82,1296.75
3875.96,1296.75
3950.56,1296.75
3928.17,1292.75
3881.09,1297.05
3892.51,1306.95
3877.77,1295.55
3885.21,1303.5
3936.5,1303.5
4015.95,1303.5
3994.92,1305.6
3998.77,1307.7
4029.11,1303.7
4056.4,1309.6
3992.34,1311.3
3999.06,1311.3
4011.92,1311.3
3994.11,1319.55
3935.89,1316.3
3947.74,1309.7
4048.51,1295.15
4037.37,1295.4
4115.55,1295.4
4114.44,1295.4
4114.16,1293.5
4152.53,1290.3
4882.88,1290.45
4959.81,1283.15
4911.24,1288.45
5028.77,1288.45
5053.52,1288.45
5189.39,1300.0
5268.71,1303.0
5175.81,1305.45
5310.18,1298.8
5035.02,1294.3
5072.85,1294.3
5064.62,1294.3
5152.51,1285.65
5036.18,1276.35
5196.65,1275.85
5220.37,1275.7
5276.31,1275.7
5277.04,1275.7
5309.28,1275.7
5281.83,1275.7
5377.19,1269.5
5518.16,1271.65
5434.19,1280.8
5195.61,1284.2
5292.83,1284.2
5280.19,1284.2
5301.29,1279.5
5260.65,1282.3
5269.79,1283.8
5326.67,1270.95
5390.16,1278.55
5657.14,1278.55
5771.08,1278.55
5717.66,1278.55
5684.47,1281.2
5755.72,1285.2
5936.72,1286.1
6146.91,1287.1
6348.02,1287.1
7248.31,1287.1
6978.63,1295.6
7823.11,1298.4
7992.69,1299.1
8206.9,1291.7
7885.96,1280.8
7362.22,1280.8
7265.05,1280.8
8193.7,1276.85
8007.03,1271.15
7952.5,1273.8
7625.93,1283.65
7880.29,1282.5
8003.26,1282.5
8071.45,1282.5
8744.42,1282.5
8770.06,1278.3
8719.88,1281.65
8662.98,1280.95
8272.46,1295.55
8553.81,1295.55
8554.8,1295.55
8739.03,1317.1
8134.92,1324.25
7675.8,1335.05
7786.04,1335.5
7803.23,1340.65
7998.29,1340.65
7931.34,1340.65
7640.61,1328.6
8020.38,1324.3
7917.58,1332.35
8173.06,1335.9
8237.88,1351.25
8693.6,1351.25
8859.47,1351.25
8978.99,1341.3
9327.48,1341.35
9076.18,1344.05
9281.7,1379.5
9531.35,1397.15
10209.38,1397.15
10668.63,1397.15
10814.48,1405.7
11017.5,1431.4
11766.4,1403.95
12932.55,1402.5
11132.85,1409.0
12374.35,1409.0
11890.38,1409.0
10737.73,1390.1
10578.72,1391.05
10805.4,1413.5
11984.76,1414.9
11160.49,1388.65
10955.16,1388.65
11232.04,1388.65
11477.01,1400.1
12313.08,1391.55
12586.78,1408.3
12099.9,1413.75
11352.87,1407.6
11803.97,1407.6
11389.1,1407.6
10186.96,1412.4
10873.5,1409.85
9397.72,1410.35
9674.28,1417.45
10638.56,1439.7
10535.75,1439.7
10764.9,1439.7
10587.41,1427.75
10323.62,1425.55
9844.3,1426.95
9772.17,1416.1
9875.17,1420.4
9848.65,1420.4
9473.99,1420.4
9530.0,1419.05
9501.33,1425.9
9589.13,1427.55
10084.7,1406.8
10407.17,1441.75
10529.55,1441.75
10814.57,1441.75
10980.23,1465.25
11787.99,1465.25
11465.67,1506.05
11960.82,1495.75
11996.41,1497.7
11856.64,1497.7
11282.22,1497.7
11566.84,1504.7
11386.26,1498.4
10858.12,1513.25
10016.96,1515.65
10302.17,1515.25
10359.44,1515.25
10214.52,1515.25
10317.6,1496.6
10917.26,1504.55
10760.56,1503.25
10129.4,1502.05
10111.98,1503.8
10405.81,1503.8
10143.8,1503.8
10135.06,1503.8
10360.28,1532.95
10171.95,1537.15
9717.82,1540.2
9484.55,1528.4
9577.99,1528.4
9600.9,1528.4
9769.79,1525.95
10386.64,1537.85
10621.29,1546.1
10584.16,1529.1
10577.8,1523.7
10317.47,1523.7
10487.21,1523.7
10406.31,1509.2
10313.66,1498.25
10101.03,1490.65
10159.32,1515.2
10420.16,1503.1
10363.9,1503.1
10361.33,1503.1
10310.43,1497.2
10265.63,1502.1
10190.36,1503.5
10157.59,1500.7
10275.88,1501.9
10173.11,1501.9
9979.49,1501.9
10033.05,1522.1
9683.38,1520.65
8553.61,1528.75
8432.23,1506.4
8055.64,1489.9
8193.9,1489.9
8225.0,1489.9
8056.74,1485.3
8307.74,1473.45
8322.92,1492.6
8382.03,1517.1
8236.17,1499.15
8155.48,1499.15
8147.69,1499.15
7869.74,1501.25
8212.02,1505.85
8190.0,1507.25
8587.92,1494.8
8586.9,1479.15
8269.73,1479.15
8308.01,1479.15
8283.76,1490.6
8353.54,1487.8
8162.16,1485.1
8002.51,1492.65
8076.78,1490.0
7954.15,1490.0
7960.04,1490.0
8231.06,1491.65
8222.52,1485.35
8026.76,1494.45
7469.56,1496.55
7431.88,1513.45
8666.79,1513.45
9259.8,1513.45
9551.54,1492.4
9218.76,1486.75
9433.35,1492.1
9164.62,1510.95
9147.98,1508.8
9252.99,1508.8
9301.18,1508.8
9206.16,1509.45
9418.05,1488.95
9310.19,1486.05
9343.34,1484.25
9204.24,1464.15
8766.04,1464.15
8809.41,1464.15
9037.12,1458.7
8717.81,1452.05
8801.52,1462.9
8762.42,1466.65
8632.32,1466.9
8457.69,1466.9
8482.7,1466.9
8503.93,1467.65
8175.99,1468.45
8120.8,1471.7
8081.81,1467.05
7617.07,1464.45
7286.35,1464.45
7324.03,1464.45
6907.4,1458.4
7130.25,1454.65
7163.63,1454.35
7523.83,1454.65
7431.0,1460.15
7757.47,1460.15
7557.72,1460.15
7402.69,1461.15
7309.59,1477.3
7296.77,1475.1
7192.85,1475.95
7395.97,1459.65
7547.19,1459.65
7504.83,1459.65
7522.39,1461.7
7337.42,1464.95
7220.76,1466.8
7202.31,1467.8
7189.16,1466.6
7251.87,1466.6
7067.74,1466.6
7111.14,1477.9
6879.54,1475.8
6612.12,1474.05
7284.29,1476.7
7150.86,1479.0
7190.17,1479.0
7143.2,1479.0
7514.41,1482.1
7322.08,1482.1
7250.69,1482.1
7192.72,1482.1
7194.4,1511.5
7243.93,1511.5
7301.07,1511.5
7385.36,1514.75
7219.6,1514.75
7168.31,1514.75
7175.68,1527.1
6944.33,1548.75
7326.35,1548.75
7347.89,1548.75
7351.57,1573.1
7759.24,1567.85
8165.47,1571.95
8042.65,1550.75
7817.92,1553.6
8184.66,1553.6
8021.49,1553.6
8173.97,1549.9
8105.24,1545.1
8842.42,1549.0
8813.89,1554.55
8722.03,1557.6
8900.34,1557.6
8910.85,1557.6
8703.36,1560.15
8626.47,1551.3
8722.26,1556.9
8658.94,1562.9
8388.11,1564.3
8428.17,1564.3
8327.36,1564.3
8588.42,1580.1
8895.78,1574.0
9385.69,1573.45
9279.81,1578.25
9502.37,1584.2
9333.77,1584.2
9378.09,1584.2
9314.56,1574.75
9162.14,1558.35
9162.14,1553.3
9614.9,1563.3
9755.66,1572.65
9807.54,1572.65
9907.12,1572.65
10162.41,1573.2
9854.79,1570.5
10275.38,1563.7
10354.3,1575.05
10242.43,1581.4
10368.53,1581.4
9904.17,1581.4
9937.67,1580.8
9703.93,1589.85
10180.65,1604.2
9604.72,1619.0
9606.86,1643.3
9696.58,1643.3
9669.63,1643.3
9989.39,1671.65
9663.75,1650.3
9309.15,1634.9
8785.52,1652.0
8804.72,1609.85
8712.35,1609.85
8534.17,1609.85
8912.82,1599.65
8912.82,1615.5
8754.34,1641.85
8758.9,1659.6
9067.39,1683.65
9155.89,1683.65
8898.63,1683.65
8039.38,1672.5
7931.94,1655.7
7885.46,1653.75
7936.65,1570.7
4830.21,1562.8
5609.03,1562.8
5166.26,1562.8
5348.44,1487.7
5026.35,1536.2
5357.61,1498.2
5410.23,1474.25
6195.2,1494.4
6226.44,1494.4
6189.85,1494.4
5822.62,1525.4
6502.16,1605.75
6768.49,1605.45
6698.46,1634.8
6763.75,1617.3
6369.09,1617.3
6260.95,1617.3
5885.41,1618.3
6405.29,1608.95
6428.28,1576.55
6652.87,1616.8
6809.11,1613.1
6741.67,1613.1
6871.69,1613.1
6777.44,1648.3
7343.2,1649.25
7205.55,1647.8
7365.03,1680.65
7293.69,1680.65
6873.24,1680.65
6891.6,1680.65
6915.37,1680.65
6857.66,1741.9
6871.95,1718.65
6623.8,1729.5
7112.27,1692.55
7034.89,1692.55
7259.36,1692.55
7130.04,1686.2
6840.24,1682.05
6852.52,1710.55
7130.99,1736.25
7477.6,1715.9
7507.08,1715.9
7549.52,1715.9
7699.27,1714.95
7790.66,1691.55
7765.33,1703.35
8777.63,1702.75
8628.77,1686.25
8824.66,1686.25
8973.82,1686.25
8903.95,1709.1
8885.93,1699.55
9030.96,1691.5
9170.79,1704.05
10002.48,1704.05
9821.8,1704.05
9527.39,1704.05
8754.46,1702.75
8617.25,1702.4
8814.53,1708.4
9305.93,1731.6
9790.31,1735.35
9303.59,1735.35
9385.7,1735.35
9669.4,1734.7
9719.37,1737.95
9785.74,1748.3
9510.67,1724.9
9057.57,1733.55
9167.26,1733.55
9178.32,1733.55
8730.73,1733.55
8899.66,1720.25
8842.85,1694.6
9197.54,1717.35
9569.21,1728.7
9425.98,1728.7
9698.1,1728.7
9450.84,1730.6
10204.23,1742.15
9525.57,1705.35
9658.04,1700.05
9794.56,1683.45
9623.75,1683.45
9670.43,1683.45
9753.85,1690.35
9782.59,1713.5
9775.15,1722.05
9892.13,1738.25
9286.42,1733.5
9459.97,1733.5
9473.5,1733.5
9330.07,1710.45
9426.7,1719.85
9526.0,1724.35
9454.81,1719.5
9380.03,1734.75
9300.15,1734.75
9357.43,1734.75
9284.78,1761.85
9691.9,1768.9
9621.49,1766.05
9276.58,1756.55
9240.85,1747.6
9154.45,1747.6
9004.23,1747.6
9127.47,1771.6
9185.35,1768.1
9133.97,1771.05
9236.38,1777.45
9087.98,1772.9
9072.42,1772.9
9131.31,1772.9
9089.09,1787.9
9348.91,1789.55
9256.23,1811.1
9440.07,1812.1
9238.04,1803.1
9287.4,1803.1
9235.96,1803.1
9295.9,1807.5
9238.13,1801.9
9254.52,1804.6
9193.51,1807.7
9131.0,1807.35
9154.19,1807.35
9174.71,1807.35
9214.66,1815.65
9163.87,1842.55
9392.66,1852.4
9537.4,1878.3
9613.11,1902.1
