时序变量转换_Y,时序变量转换_X1,时序变量转换_X2,时序变量转换_X3,时序变量转换_X4,时序变量转换_X5,Date,Value
634.02,615.65,617.54,614.77,635.01,635.96,10/9/16,615.65
637.94,617.54,614.77,635.01,635.96,634.02,10/10/16,617.54
641.42,614.77,635.01,635.96,634.02,637.94,10/11/16,614.77
638.97,635.01,635.96,634.02,637.94,641.42,10/12/16,635.01
636.29,635.96,634.02,637.94,641.42,638.97,10/13/16,635.96
629.25,634.02,637.94,641.42,638.97,636.29,10/14/16,634.02
627.72,637.94,641.42,638.97,636.29,629.25,10/15/16,637.94
631.92,641.42,638.97,636.29,629.25,627.72,10/16/16,641.42
655.48,638.97,636.29,629.25,627.72,631.92,10/17/16,638.97
653.25,636.29,629.25,627.72,631.92,655.48,10/18/16,636.29
651.39,629.25,627.72,631.92,655.48,653.25,10/19/16,629.25
655.31,627.72,631.92,655.48,653.25,651.39,10/20/16,627.72
651.45,631.92,655.48,653.25,651.39,655.31,10/21/16,631.92
682.22,655.48,653.25,651.39,655.31,651.45,10/22/16,655.48
687.68,653.25,651.39,655.31,651.45,682.22,10/23/16,653.25
685.91,651.39,655.31,651.45,682.22,687.68,10/24/16,651.39
698.0,655.31,651.45,682.22,687.68,685.91,10/25/16,655.31
702.0,651.45,682.22,687.68,685.91,698.0,10/26/16,651.45
697.01,682.22,687.68,685.91,698.0,702.0,10/27/16,682.22
733.33,687.68,685.91,698.0,702.0,697.01,10/28/16,687.68
686.17,685.91,698.0,702.0,697.01,733.33,10/29/16,685.91
683.69,698.0,702.0,697.01,733.33,686.17,10/30/16,698.0
704.79,702.0,697.01,733.33,686.17,683.69,10/31/16,702.0
712.0,697.01,733.33,686.17,683.69,704.79,11/1/16,697.01
709.96,733.33,686.17,683.69,704.79,712.0,11/2/16,733.33
708.97,686.17,683.69,704.79,712.0,709.96,11/3/16,686.17
720.93,683.69,704.79,712.0,709.96,708.97,11/4/16,683.69
721.5,704.79,712.0,709.96,708.97,720.93,11/5/16,704.79
715.45,712.0,709.96,708.97,720.93,721.5,11/6/16,712.0
703.71,709.96,708.97,720.93,721.5,715.45,11/7/16,709.96
702.28,708.97,720.93,721.5,715.45,703.71,11/8/16,708.97
706.46,720.93,721.5,715.45,703.71,702.28,11/9/16,720.93
710.91,721.5,715.45,703.71,702.28,706.46,11/10/16,721.5
711.73,715.45,703.71,702.28,706.46,710.91,11/11/16,715.45
736.96,703.71,702.28,706.46,710.91,711.73,11/12/16,703.71
747.52,702.28,706.46,710.91,711.73,736.96,11/13/16,702.28
748.98,706.46,710.91,711.73,736.96,747.52,11/14/16,706.46
729.06,710.91,711.73,736.96,747.52,748.98,11/15/16,710.91
738.53,711.73,736.96,747.52,748.98,729.06,11/16/16,711.73
736.97,736.96,747.52,748.98,729.06,738.53,11/17/16,736.96
741.63,747.52,748.98,729.06,738.53,736.97,11/18/16,747.52
737.45,748.98,729.06,738.53,736.97,741.63,11/19/16,748.98
735.64,729.06,738.53,736.97,741.63,737.45,11/20/16,729.06
733.67,738.53,736.97,741.63,737.45,735.64,11/21/16,738.53
727.96,736.97,741.63,737.45,735.64,733.67,11/22/16,736.97
727.31,741.63,737.45,735.64,733.67,727.96,11/23/16,741.63
732.71,737.45,735.64,733.67,727.96,727.31,11/24/16,737.45
742.69,735.64,733.67,727.96,727.31,732.71,11/25/16,735.64
742.05,733.67,727.96,727.31,732.71,742.69,11/26/16,733.67
772.43,727.96,727.31,732.71,742.69,742.05,11/27/16,727.96
764.33,727.31,732.71,742.69,742.05,772.43,11/28/16,727.31
762.97,732.71,742.69,742.05,772.43,764.33,11/29/16,732.71
754.63,742.69,742.05,772.43,764.33,762.97,11/30/16,742.69
756.62,742.05,772.43,764.33,762.97,754.63,12/1/16,742.05
758.99,772.43,764.33,762.97,754.63,756.62,12/2/16,772.43
769.72,764.33,762.97,754.63,756.62,758.99,12/3/16,764.33
770.02,762.97,754.63,756.62,758.99,769.72,12/4/16,762.97
769.08,754.63,756.62,758.99,769.72,770.02,12/5/16,754.63
777.0,756.62,758.99,769.72,770.02,769.08,12/6/16,756.62
777.0,758.99,769.72,770.02,769.08,777.0,12/7/16,758.99
777.99,769.72,770.02,769.08,777.0,777.0,12/8/16,769.72
774.89,770.02,769.08,777.0,777.0,777.99,12/9/16,770.02
776.75,769.08,777.0,777.0,777.99,774.89,12/10/16,769.08
775.88,777.0,777.0,777.99,774.89,776.75,12/11/16,777.0
788.7,777.0,777.99,774.89,776.75,775.88,12/12/16,777.0
788.4,777.99,774.89,776.75,775.88,788.7,12/13/16,777.99
788.67,774.89,776.75,775.88,788.7,788.4,12/14/16,774.89
793.09,776.75,775.88,788.7,788.4,788.67,12/15/16,776.75
824.21,775.88,788.7,788.4,788.67,793.09,12/16/16,775.88
834.97,788.7,788.4,788.67,793.09,824.21,12/17/16,788.7
901.31,788.4,788.67,793.09,824.21,834.97,12/18/16,788.4
891.61,788.67,793.09,824.21,834.97,901.31,12/19/16,788.67
892.6,793.09,824.21,834.97,901.31,891.61,12/20/16,793.09
897.33,824.21,834.97,901.31,891.61,892.6,12/21/16,824.21
930.37,834.97,901.31,891.61,892.6,897.33,12/22/16,834.97
930.34,901.31,891.61,892.6,897.33,930.37,12/23/16,901.31
963.38,891.61,892.6,897.33,930.37,930.34,12/24/16,891.61
952.15,892.6,897.33,930.37,930.34,963.38,12/25/16,892.6
958.12,897.33,930.37,930.34,963.38,952.15,12/26/16,897.33
997.72,930.37,930.34,963.38,952.15,958.12,12/27/16,930.37
1015.97,930.34,963.38,952.15,958.12,997.72,12/28/16,930.34
1013.42,963.38,952.15,958.12,997.72,1015.97,12/29/16,963.38
1126.76,952.15,958.12,997.72,1015.97,1013.42,12/30/16,952.15
994.67,958.12,997.72,1015.97,1013.42,1126.76,12/31/16,958.12
999.65,997.72,1015.97,1013.42,1126.76,994.67,1/1/17,997.72
896.83,1015.97,1013.42,1126.76,994.67,999.65,1/2/17,1015.97
908.14,1013.42,1126.76,994.67,999.65,896.83,1/3/17,1013.42
910.49,1126.76,994.67,999.65,896.83,908.14,1/4/17,1126.76
906.05,994.67,999.65,896.83,908.14,910.49,1/5/17,994.67
785.22,999.65,896.83,908.14,910.49,906.05,1/6/17,999.65
780.92,896.83,908.14,910.49,906.05,785.22,1/7/17,896.83
826.29,908.14,910.49,906.05,785.22,780.92,1/8/17,908.14
817.91,910.49,906.05,785.22,780.92,826.29,1/9/17,910.49
819.55,906.05,785.22,780.92,826.29,817.91,1/10/17,906.05
830.5,785.22,780.92,826.29,817.91,819.55,1/11/17,785.22
903.84,780.92,826.29,817.91,819.55,830.5,1/12/17,780.92
906.6,826.29,817.91,819.55,830.5,903.84,1/13/17,826.29
895.798875,817.91,819.55,830.5,903.84,906.6,1/14/17,817.91
893.6210875,819.55,830.5,903.84,906.6,895.798875,1/15/17,819.55
895.64,830.5,903.84,906.6,895.798875,893.6210875,1/16/17,830.5
918.603625,903.84,906.6,895.798875,893.6210875,895.64,1/17/17,903.84
922.0736125,906.6,895.798875,893.6210875,895.64,918.603625,1/18/17,906.6
919.97,895.798875,893.6210875,895.64,918.603625,922.0736125,1/19/17,895.798875
893.045625,893.6210875,895.64,918.603625,922.0736125,919.97,1/20/17,893.6210875
915.95625,895.64,918.603625,922.0736125,919.97,893.045625,1/21/17,895.64
915.05,918.603625,922.0736125,919.97,893.045625,915.95625,1/22/17,918.603625
920.31225,922.0736125,919.97,893.045625,915.95625,915.05,1/23/17,922.0736125
915.933,919.97,893.045625,915.95625,915.05,920.31225,1/24/17,919.97
912.19,893.045625,915.95625,915.05,920.31225,915.933,1/25/17,893.045625
964.706075,915.95625,915.05,920.31225,915.933,912.19,1/26/17,915.95625
979.703875,915.05,920.31225,915.933,912.19,964.706075,1/27/17,915.05
983.42,920.31225,915.933,912.19,964.706075,979.703875,1/28/17,920.31225
1013.027,915.933,912.19,964.706075,979.703875,983.42,1/29/17,915.933
1030.999413,912.19,964.706075,979.703875,983.42,1013.027,1/30/17,912.19
1034.07,964.706075,979.703875,983.42,1013.027,1030.999413,1/31/17,964.706075
1024.01375,979.703875,983.42,1013.027,1030.999413,1034.07,2/1/17,979.703875
1050.11,983.42,1013.027,1030.999413,1034.07,1024.01375,2/2/17,983.42
1052.84,1013.027,1030.999413,1034.07,1024.01375,1050.11,2/3/17,1013.027
976.103,1030.999413,1034.07,1024.01375,1050.11,1052.84,2/4/17,1030.999413
999.1035,1034.07,1024.01375,1050.11,1052.84,976.103,2/5/17,1034.07
997.59,1024.01375,1050.11,1052.84,976.103,999.1035,2/6/17,1024.01375
1000.604625,1050.11,1052.84,976.103,999.1035,997.59,2/7/17,1050.11
999.877375,1052.84,976.103,999.1035,997.59,1000.604625,2/8/17,1052.84
1001.2,976.103,999.1035,997.59,1000.604625,999.877375,2/9/17,976.103
1012.325988,999.1035,997.59,1000.604625,999.877375,1001.2,2/10/17,999.1035
1035.208125,997.59,1000.604625,999.877375,1001.2,1012.325988,2/11/17,997.59
1035.2,1000.604625,999.877375,1001.2,1012.325988,1035.208125,2/12/17,1000.604625
1056.637138,999.877375,1001.2,1012.325988,1035.208125,1035.2,2/13/17,999.877375
1052.779286,1001.2,1012.325988,1035.208125,1035.2,1056.637138,2/14/17,1001.2
1050.87,1012.325988,1035.208125,1035.2,1056.637138,1052.779286,2/15/17,1012.325988
1123.788429,1035.208125,1035.2,1056.637138,1052.779286,1050.87,2/16/17,1035.208125
1123.223188,1035.2,1056.637138,1052.779286,1050.87,1123.788429,2/17/17,1035.2
1130.01,1056.637138,1052.779286,1050.87,1123.788429,1123.223188,2/18/17,1056.637138
1174.86625,1052.779286,1050.87,1123.788429,1123.223188,1130.01,2/19/17,1052.779286
1150.605714,1050.87,1123.788429,1123.223188,1130.01,1174.86625,2/20/17,1050.87
1150.37,1123.788429,1123.223188,1130.01,1174.86625,1150.605714,2/21/17,1123.788429
1190.75195,1123.223188,1130.01,1174.86625,1150.605714,1150.37,2/22/17,1123.223188
1187.565286,1130.01,1174.86625,1150.605714,1150.37,1190.75195,2/23/17,1130.01
1190.89,1174.86625,1150.605714,1150.37,1190.75195,1187.565286,2/24/17,1174.86625
1259.410817,1150.605714,1150.37,1190.75195,1187.565286,1190.89,2/25/17,1150.605714
1285.14,1150.37,1190.75195,1187.565286,1190.89,1259.410817,2/26/17,1150.37
1287.0,1190.75195,1187.565286,1190.89,1259.410817,1285.14,2/27/17,1190.75195
1270.9333,1187.565286,1190.89,1259.410817,1285.14,1287.0,2/28/17,1187.565286
1275.197375,1190.89,1259.410817,1285.14,1287.0,1270.9333,3/1/17,1190.89
1279.5,1259.410817,1285.14,1287.0,1270.9333,1275.197375,3/2/17,1259.410817
1157.3933,1285.14,1287.0,1270.9333,1275.197375,1279.5,3/3/17,1285.14
1192.469143,1287.0,1270.9333,1275.197375,1279.5,1157.3933,3/4/17,1287.0
1192.09,1270.9333,1275.197375,1279.5,1157.3933,1192.469143,3/5/17,1270.9333
1179.159875,1275.197375,1279.5,1157.3933,1192.469143,1192.09,3/6/17,1275.197375
1227.494625,1279.5,1157.3933,1192.469143,1192.09,1179.159875,3/7/17,1279.5
1227.68,1157.3933,1192.469143,1192.09,1179.159875,1227.494625,3/8/17,1157.3933
1245.370786,1192.469143,1192.09,1179.159875,1227.494625,1227.68,3/9/17,1192.469143
1257.399625,1192.09,1179.159875,1227.494625,1227.68,1245.370786,3/10/17,1192.09
1257.0,1179.159875,1227.494625,1227.68,1245.370786,1257.399625,3/11/17,1179.159875
1091.171888,1227.494625,1227.68,1245.370786,1257.399625,1257.0,3/12/17,1227.494625
952.2323625,1227.68,1245.370786,1257.399625,1257.0,1091.171888,3/13/17,1227.68
967.69,1245.370786,1257.399625,1257.0,1091.171888,952.2323625,3/14/17,1245.370786
1049.084488,1257.399625,1257.0,1091.171888,952.2323625,967.69,3/15/17,1257.399625
1118.630043,1257.0,1091.171888,952.2323625,967.69,1049.084488,3/16/17,1257.0
1113.0,1091.171888,952.2323625,967.69,1049.084488,1118.630043,3/17/17,1091.171888
1038.789,952.2323625,967.69,1049.084488,1118.630043,1113.0,3/18/17,952.2323625
941.9197143,967.69,1049.084488,1118.630043,1113.0,1038.789,3/19/17,967.69
927.93,1049.084488,1118.630043,1113.0,1038.789,941.9197143,3/20/17,1049.084488
956.7863125,1118.630043,1113.0,1038.789,941.9197143,927.93,3/21/17,1118.630043
1037.22925,1113.0,1038.789,941.9197143,927.93,956.7863125,3/22/17,1113.0
1041.04,1038.789,941.9197143,927.93,956.7863125,1037.22925,3/23/17,1038.789
1040.5755,941.9197143,927.93,956.7863125,1037.22925,1041.04,3/24/17,941.9197143
1037.90455,927.93,956.7863125,1037.22925,1041.04,1040.5755,3/25/17,927.93
1034.74,956.7863125,1037.22925,1041.04,1040.5755,1037.90455,3/26/17,956.7863125
1086.929571,1037.22925,1041.04,1040.5755,1037.90455,1034.74,3/27/17,1037.22925
1099.169125,1041.04,1040.5755,1037.90455,1034.74,1086.929571,3/28/17,1041.04
1079.99,1040.5755,1037.90455,1034.74,1086.929571,1099.169125,3/29/17,1040.5755
1141.600363,1037.90455,1034.74,1086.929571,1099.169125,1079.99,3/30/17,1037.90455
1133.079314,1034.74,1086.929571,1099.169125,1079.99,1141.600363,3/31/17,1034.74
1133.53,1086.929571,1099.169125,1079.99,1141.600363,1133.079314,4/1/17,1086.929571
1190.45425,1099.169125,1079.99,1141.600363,1133.079314,1133.53,4/2/17,1099.169125
1181.149838,1079.99,1141.600363,1133.079314,1133.53,1190.45425,4/3/17,1079.99
1184.03,1141.600363,1133.079314,1133.53,1190.45425,1181.149838,4/4/17,1141.600363
1207.744875,1133.079314,1133.53,1190.45425,1181.149838,1184.03,4/5/17,1133.079314
1226.617038,1133.53,1190.45425,1181.149838,1184.03,1207.744875,4/6/17,1133.53
1219.09,1190.45425,1181.149838,1184.03,1207.744875,1226.617038,4/7/17,1190.45425
1180.023713,1181.149838,1184.03,1207.744875,1226.617038,1219.09,4/8/17,1181.149838
1185.260057,1184.03,1207.744875,1226.617038,1219.09,1180.023713,4/9/17,1184.03
1170.36,1207.744875,1226.617038,1219.09,1180.023713,1185.260057,4/10/17,1207.744875
1186.927413,1226.617038,1219.09,1180.023713,1185.260057,1170.36,4/11/17,1226.617038
1205.634875,1219.09,1180.023713,1185.260057,1170.36,1186.927413,4/12/17,1219.09
1176.97,1180.023713,1185.260057,1170.36,1186.927413,1205.634875,4/13/17,1180.023713
1217.930088,1185.260057,1170.36,1186.927413,1205.634875,1176.97,4/14/17,1185.260057
1241.686325,1170.36,1186.927413,1205.634875,1176.97,1217.930088,4/15/17,1170.36
1236.63,1186.927413,1205.634875,1176.97,1217.930088,1241.686325,4/16/17,1186.927413
1261.311225,1205.634875,1176.97,1217.930088,1241.686325,1236.63,4/17/17,1205.634875
1257.988113,1176.97,1217.930088,1241.686325,1236.63,1261.311225,4/18/17,1176.97
1240.84,1217.930088,1241.686325,1236.63,1261.311225,1257.988113,4/19/17,1217.930088
1279.414688,1241.686325,1236.63,1261.311225,1257.988113,1240.84,4/20/17,1241.686325
1309.109875,1236.63,1261.311225,1257.988113,1240.84,1279.414688,4/21/17,1236.63
1288.02,1261.311225,1257.988113,1240.84,1279.414688,1309.109875,4/22/17,1261.311225
1331.294429,1257.988113,1240.84,1279.414688,1309.109875,1288.02,4/23/17,1257.988113
1334.979038,1240.84,1279.414688,1309.109875,1288.02,1331.294429,4/24/17,1240.84
1333.0,1279.414688,1309.109875,1288.02,1331.294429,1334.979038,4/25/17,1279.414688
1417.172813,1309.109875,1288.02,1331.294429,1334.979038,1333.0,4/26/17,1309.109875
1452.076288,1288.02,1331.294429,1334.979038,1333.0,1417.172813,4/27/17,1288.02
1447.55,1331.294429,1334.979038,1333.0,1417.172813,1452.076288,4/28/17,1331.294429
1508.292125,1334.979038,1333.0,1417.172813,1452.076288,1447.55,4/29/17,1334.979038
1533.335071,1333.0,1417.172813,1452.076288,1447.55,1508.292125,4/30/17,1333.0
1518.75,1417.172813,1452.076288,1447.55,1508.292125,1533.335071,5/1/17,1417.172813
1535.868429,1452.076288,1447.55,1508.292125,1533.335071,1518.75,5/2/17,1452.076288
1640.619225,1447.55,1508.292125,1533.335071,1518.75,1535.868429,5/3/17,1447.55
1651.1,1508.292125,1533.335071,1518.75,1535.868429,1640.619225,5/4/17,1508.292125
1762.88625,1533.335071,1518.75,1535.868429,1640.619225,1651.1,5/5/17,1533.335071
1820.990563,1518.75,1535.868429,1640.619225,1651.1,1762.88625,5/6/17,1518.75
1829.0,1535.868429,1640.619225,1651.1,1762.88625,1820.990563,5/7/17,1535.868429
1771.920013,1640.619225,1651.1,1762.88625,1820.990563,1829.0,5/8/17,1640.619225
1776.3165,1651.1,1762.88625,1820.990563,1829.0,1771.920013,5/9/17,1651.1
1780.0,1762.88625,1820.990563,1829.0,1771.920013,1776.3165,5/10/17,1762.88625
1739.031975,1820.990563,1829.0,1771.920013,1776.3165,1780.0,5/11/17,1820.990563
1807.485063,1829.0,1771.920013,1776.3165,1780.0,1739.031975,5/12/17,1829.0
1783.98,1771.920013,1776.3165,1780.0,1739.031975,1807.485063,5/13/17,1771.920013
1961.520488,1776.3165,1780.0,1739.031975,1807.485063,1783.98,5/14/17,1776.3165
2052.909788,1780.0,1739.031975,1807.485063,1783.98,1961.520488,5/15/17,1780.0
2008.84,1739.031975,1807.485063,1783.98,1961.520488,2052.909788,5/16/17,1739.031975
2090.662313,1807.485063,1783.98,1961.520488,2052.909788,2008.84,5/17/17,1807.485063
2287.710288,1783.98,1961.520488,2052.909788,2008.84,2090.662313,5/18/17,1783.98
2256.32,1961.520488,2052.909788,2008.84,2090.662313,2287.710288,5/19/17,1961.520488
2387.206286,2052.909788,2008.84,2090.662313,2287.710288,2256.32,5/20/17,2052.909788
2211.976857,2008.84,2090.662313,2287.710288,2256.32,2387.206286,5/21/17,2008.84
2279.82,2090.662313,2287.710288,2256.32,2387.206286,2211.976857,5/22/17,2090.662313
2192.9808,2287.710288,2256.32,2387.206286,2211.976857,2279.82,5/23/17,2287.710288
2275.9307,2256.32,2387.206286,2211.976857,2279.82,2192.9808,5/24/17,2256.32
2290.02,2387.206286,2211.976857,2279.82,2192.9808,2275.9307,5/25/17,2387.206286
2285.933914,2211.976857,2279.82,2192.9808,2275.9307,2290.02,5/26/17,2211.976857
2399.242671,2279.82,2192.9808,2275.9307,2290.02,2285.933914,5/27/17,2279.82
2409.93,2192.9808,2275.9307,2290.02,2285.933914,2399.242671,5/28/17,2192.9808
2525.765158,2275.9307,2290.02,2285.933914,2399.242671,2409.93,5/29/17,2275.9307
2516.173143,2290.02,2285.933914,2399.242671,2409.93,2525.765158,5/30/17,2290.02
2529.53,2285.933914,2399.242671,2409.93,2525.765158,2516.173143,5/31/17,2285.933914
2883.313697,2399.242671,2409.93,2525.765158,2516.173143,2529.53,6/1/17,2399.242671
2664.920863,2409.93,2525.765158,2516.173143,2529.53,2883.313697,6/2/17,2409.93
2683.03,2525.765158,2516.173143,2529.53,2883.313697,2664.920863,6/3/17,2525.765158
2827.4913,2516.173143,2529.53,2883.313697,2664.920863,2683.03,6/4/17,2516.173143
2845.372857,2529.53,2883.313697,2664.920863,2683.03,2827.4913,6/5/17,2529.53
2898.63,2883.313697,2664.920863,2683.03,2827.4913,2845.372857,6/6/17,2883.313697
2657.675063,2664.920863,2683.03,2827.4913,2845.372857,2898.63,6/7/17,2664.920863
2748.185086,2683.03,2827.4913,2845.372857,2898.63,2657.675063,6/8/17,2683.03
2706.0,2827.4913,2845.372857,2898.63,2657.675063,2748.185086,6/9/17,2827.4913
2442.48025,2845.372857,2898.63,2657.675063,2748.185086,2706.0,6/10/17,2845.372857
2464.959814,2898.63,2657.675063,2748.185086,2706.0,2442.48025,6/11/17,2898.63
2477.94,2657.675063,2748.185086,2706.0,2442.48025,2464.959814,6/12/17,2657.675063
2507.389252,2748.185086,2706.0,2442.48025,2464.959814,2477.94,6/13/17,2748.185086
2617.210263,2706.0,2442.48025,2464.959814,2477.94,2507.389252,6/14/17,2706.0
2600.0,2442.48025,2464.959814,2477.94,2507.389252,2617.210263,6/15/17,2442.48025
2671.04325,2464.959814,2477.94,2507.389252,2617.210263,2600.0,6/16/17,2464.959814
2727.288013,2477.94,2507.389252,2617.210263,2600.0,2671.04325,6/17/17,2477.94
2713.48,2507.389252,2617.210263,2600.0,2671.04325,2727.288013,6/18/17,2507.389252
2589.164888,2617.210263,2600.0,2671.04325,2727.288013,2713.48,6/19/17,2617.210263
2512.366286,2600.0,2671.04325,2727.288013,2713.48,2589.164888,6/20/17,2600.0
2502.03,2671.04325,2727.288013,2713.48,2589.164888,2512.366286,6/21/17,2671.04325
2517.903114,2727.288013,2713.48,2589.164888,2512.366286,2502.03,6/22/17,2727.288013
2585.349186,2713.48,2589.164888,2512.366286,2502.03,2517.903114,6/23/17,2713.48
2558.3,2589.164888,2512.366286,2502.03,2517.903114,2585.349186,6/24/17,2589.164888
2477.641375,2512.366286,2502.03,2517.903114,2585.349186,2558.3,6/25/17,2512.366286
2501.191343,2502.03,2517.903114,2585.349186,2558.3,2477.641375,6/26/17,2502.03
2421.26,2517.903114,2585.349186,2558.3,2477.641375,2501.191343,6/27/17,2517.903114
2561.225429,2585.349186,2558.3,2477.641375,2501.191343,2421.26,6/28/17,2585.349186
2599.729838,2558.3,2477.641375,2501.191343,2421.26,2561.225429,6/29/17,2558.3
2598.89,2477.641375,2501.191343,2421.26,2561.225429,2599.729838,6/30/17,2477.641375
2609.96775,2501.191343,2421.26,2561.225429,2599.729838,2598.89,7/1/17,2501.191343
2491.201214,2421.26,2561.225429,2599.729838,2598.89,2609.96775,7/2/17,2421.26
2502.86,2561.225429,2599.729838,2598.89,2609.96775,2491.201214,7/3/17,2561.225429
2536.238938,2599.729838,2598.89,2609.96775,2491.201214,2502.86,7/4/17,2599.729838
2366.170143,2598.89,2609.96775,2491.201214,2502.86,2536.238938,7/5/17,2598.89
2327.09,2609.96775,2491.201214,2502.86,2536.238938,2366.170143,7/6/17,2609.96775
2385.748571,2491.201214,2502.86,2536.238938,2366.170143,2327.09,7/7/17,2491.201214
2354.783417,2502.86,2536.238938,2366.170143,2327.09,2385.748571,7/8/17,2502.86
2338.49,2536.238938,2366.170143,2327.09,2385.748571,2354.783417,7/9/17,2536.238938
2058.9956,2366.170143,2327.09,2385.748571,2354.783417,2338.49,7/10/17,2366.170143
1931.2143,2327.09,2385.748571,2354.783417,2338.49,2058.9956,7/11/17,2327.09
1910.96,2385.748571,2354.783417,2338.49,2058.9956,1931.2143,7/12/17,2385.748571
2320.12225,2354.783417,2338.49,2058.9956,1931.2143,1910.96,7/13/17,2354.783417
2264.7657,2338.49,2058.9956,1931.2143,1910.96,2320.12225,7/14/17,2338.49
2265.21,2058.9956,1931.2143,1910.96,2320.12225,2264.7657,7/15/17,2058.9956
2682.195363,1931.2143,1910.96,2320.12225,2264.7657,2265.21,7/16/17,1931.2143
2807.609857,1910.96,2320.12225,2264.7657,2265.21,2682.195363,7/17/17,1910.96
2825.51,2320.12225,2264.7657,2265.21,2682.195363,2807.609857,7/18/17,2320.12225
2751.821029,2264.7657,2265.21,2682.195363,2807.609857,2825.51,7/19/17,2264.7657
2560.997917,2265.21,2682.195363,2807.609857,2825.51,2751.821029,7/20/17,2265.21
2564.3,2682.195363,2807.609857,2825.51,2751.821029,2560.997917,7/21/17,2682.195363
2647.625,2807.609857,2825.51,2751.821029,2560.997917,2564.3,7/22/17,2807.609857
2781.636583,2825.51,2751.821029,2560.997917,2564.3,2647.625,7/23/17,2825.51
2784.8,2751.821029,2560.997917,2564.3,2647.625,2781.636583,7/24/17,2751.821029
2745.955417,2560.997917,2564.3,2647.625,2781.636583,2784.8,7/25/17,2560.997917
2866.431667,2564.3,2647.625,2781.636583,2784.8,2745.955417,7/26/17,2564.3
2862.9,2647.625,2781.636583,2784.8,2745.955417,2866.431667,7/27/17,2647.625
2693.633983,2781.636583,2784.8,2745.955417,2866.431667,2862.9,7/28/17,2781.636583
2794.117717,2784.8,2745.955417,2866.431667,2862.9,2693.633983,7/29/17,2784.8
2790.0,2745.955417,2866.431667,2862.9,2693.633983,2794.117717,7/30/17,2745.955417
3218.115017,2866.431667,2862.9,2693.633983,2794.117717,2790.0,7/31/17,2866.431667
3252.562533,2862.9,2693.633983,2794.117717,2790.0,3218.115017,8/1/17,2862.9
3210.2,2693.633983,2794.117717,2790.0,3218.115017,3252.562533,8/2/17,2693.633983
3457.374333,2794.117717,2790.0,3218.115017,3252.562533,3210.2,8/3/17,2794.117717
3357.326317,2790.0,3218.115017,3252.562533,3210.2,3457.374333,8/4/17,2790.0
3340.28,3218.115017,3252.562533,3210.2,3457.374333,3357.326317,8/5/17,3218.115017
3632.506667,3252.562533,3210.2,3457.374333,3357.326317,3340.28,8/6/17,3252.562533
3852.802914,3210.2,3457.374333,3357.326317,3340.28,3632.506667,8/7/17,3210.2
3868.52,3457.374333,3357.326317,3340.28,3632.506667,3852.802914,8/8/17,3457.374333
4282.992,3357.326317,3340.28,3632.506667,3852.802914,3868.52,8/9/17,3357.326317
4217.028329,3340.28,3632.506667,3852.802914,3868.52,4282.992,8/10/17,3340.28
4179.97,3632.506667,3852.802914,3868.52,4282.992,4217.028329,8/11/17,3632.506667
4328.725717,3852.802914,3868.52,4282.992,4217.028329,4179.97,8/12/17,3852.802914
4130.440067,3868.52,4282.992,4217.028329,4179.97,4328.725717,8/13/17,3868.52
4104.71,4282.992,4217.028329,4179.97,4328.725717,4130.440067,8/14/17,4282.992
4157.958033,4217.028329,4179.97,4328.725717,4130.440067,4104.71,8/15/17,4217.028329
4043.722,4179.97,4328.725717,4130.440067,4104.71,4157.958033,8/16/17,4179.97
